"Sex","Age group","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020"
,"40 to 44 years","2,021.1","2,029.0","2,083.6","2,103.0","2,068.6","2,071.6","2,104.6","2,065.5","2,068.6","2,038.6","2,011.1","2,020.1","2,005.9","2,027.7","2,033.1","2,038.7","2,038.7","2,071.7","2,089.0","2,108.9","2,094.7","2,068.7","2,052.7","2,078.7","2,070.3","2,070.2","2,054.2","2,090.4","2,066.4","2,054.3","2,057.8","2,073.9","2,110.3","2,117.6","2,103.0","2,131.6","2,137.8","2,140.8","2,131.2","2,121.9","2,098.4","2,105.9","2,123.5","2,159.4","2,141.8","2,164.5","2,117.5","2,147.7","2,169.1","2,187.6","2,173.5","2,158.5","2,182.0","2,148.3","2,078.0","2,027.5","2,079.6","2,164.1","2,163.9","2,199.1","2,252.7"
,"45 to 49 years","2,070.8","2,083.0","2,087.9","2,067.3","2,081.6","2,091.7","2,067.1","2,057.2","2,064.5","2,060.1","2,042.5","2,022.4","2,022.1","2,016.0","1,996.1","2,000.7","2,019.0","2,028.8","2,049.8","2,040.9","2,056.4","2,040.6","2,036.3","2,025.8","2,003.5","2,031.3","2,041.0","2,018.2","1,997.8","2,003.4","2,005.4","1,999.7","2,013.5","2,010.7","2,020.4","2,018.4","2,016.6","2,010.6","2,018.4","2,030.8","2,024.3","2,029.0","2,050.4","2,067.1","2,073.4","2,077.2","2,078.3","2,065.4","2,067.0","2,026.3","2,028.0","2,035.6","2,013.8","1,993.3","1,985.2","1,894.7","1,929.9","1,963.3","1,948.6","1,973.8","1,998.1"
,"50 to 54 years","2,339.0","2,299.2","2,290.8","2,269.6","2,249.9","2,253.8","2,254.5","2,283.4","2,285.5","2,270.3","2,239.8","2,264.5","2,259.7","2,252.6","2,286.1","2,253.8","2,230.6","2,208.6","2,202.7","2,217.9","2,225.1","2,241.8","2,223.2","2,257.5","2,283.0","2,239.3","2,202.8","2,200.9","2,190.3","2,190.7","2,186.5","2,202.1","2,171.0","2,161.9","2,121.8","2,156.3","2,153.7","2,174.2","2,145.2","2,138.6","2,132.1","2,123.8","2,111.7","2,107.1","2,113.5","2,091.6","2,069.1","2,111.1","2,116.0","2,105.1","2,086.6","2,066.6","2,064.3","2,080.9","2,010.9","1,971.0","2,011.4","2,086.0","2,087.2","2,120.1","2,111.4"
,"55 to 59 years","1,897.8","1,897.4","1,907.0","1,922.4","1,905.9","1,946.7","1,949.2","1,977.4","1,980.5","1,965.8","1,951.9","1,967.6","1,986.8","1,989.0","1,980.3","1,976.0","1,986.4","1,994.0","1,985.2","1,971.4","1,979.7","1,984.9","1,962.7","2,000.1","2,014.6","2,027.7","2,026.5","2,022.3","1,999.7","1,999.8","1,992.4","1,994.0","2,003.2","2,013.0","1,997.5","2,029.0","2,038.5","2,029.9","2,038.6","2,018.5","2,011.7","2,030.4","2,018.2","2,044.7","2,040.8","2,053.5","2,024.5","2,031.9","2,039.5","2,048.1","2,036.4","2,011.7","1,997.4","2,033.8","1,977.1","1,933.9","1,951.3","1,998.1","1,999.1","2,046.8","2,053.7"
,"60 to 64 years","1,211.8","1,210.9","1,211.2","1,212.7","1,221.6","1,218.0","1,216.2","1,220.1","1,245.0","1,239.4","1,211.6","1,252.0","1,272.6","1,288.1","1,249.9","1,255.2","1,241.7","1,260.3","1,256.9","1,279.8","1,282.7","1,289.3","1,263.6","1,293.3","1,307.6","1,302.4","1,313.7","1,332.7","1,306.8","1,321.3","1,345.6","1,335.9","1,354.4","1,371.3","1,349.8","1,358.1","1,371.2","1,386.3","1,403.0","1,384.2","1,347.2","1,348.6","1,381.5","1,377.8","1,393.1","1,398.3","1,384.0","1,404.1","1,443.7","1,439.5","1,434.6","1,434.3","1,421.4","1,433.5","1,393.8","1,315.3","1,344.2","1,363.4","1,374.9","1,397.2","1,409.9"
,"65 years and over","765.5","800.7","788.0","773.6","768.2","792.2","775.2","759.4","757.6","777.3","777.7","774.5","809.8","805.2","797.1","803.0","794.5","813.5","809.4","810.7","833.9","844.5","836.0","843.4","877.5","877.1","868.4","878.3","882.8","865.8","860.5","874.3","874.3","864.2","831.5","801.6","840.3","849.9","871.3","887.6","921.1","945.3","956.0","956.6","954.7","934.9","906.6","934.8","946.4","972.7","946.1","970.2","964.0","961.7","908.7","868.5","886.7","901.2","874.5","882.4","928.7"
,"65 to 69 years","504.4","525.0","516.1","506.3","502.1","524.6","503.9","491.1","494.8","508.7","499.3","498.0","523.4","531.0","518.4","519.2","512.1","521.0","527.4","529.9","540.9","549.1","536.6","541.8","551.5","547.0","538.4","542.2","539.4","521.5","516.4","524.4","533.4","542.4","523.9","500.5","529.3","535.2","545.0","550.5","567.8","587.6","598.8","601.7","608.2","590.4","574.0","589.2","596.7","608.5","584.4","609.8","605.9","603.4","555.4","525.7","550.3","554.0","537.3","539.2","581.8"
,"70 years and over","261.1","275.7","271.9","267.4","266.1","267.6","271.3","268.3","262.9","268.6","278.5","276.5","286.4","274.2","278.7","283.8","282.4","292.6","282.1","280.9","293.0","295.5","299.4","301.6","326.0","330.2","330.1","336.2","343.4","344.4","344.1","349.8","340.8","321.7","307.5","301.1","311.0","314.7","326.3","337.2","353.2","357.7","357.2","354.9","346.5","344.5","332.7","345.6","349.7","364.2","361.7","360.4","358.1","358.3","353.3","342.7","336.3","347.1","337.2","343.2","346.9"
"Males","15 years and over","10,226.8","10,213.1","10,158.3","10,120.1","10,051.7","10,106.1","10,086.7","10,129.4","10,337.7","10,354.0","10,444.0","10,463.0","10,258.4","10,266.6","10,228.6","10,173.7","10,152.5","10,157.6","10,203.4","10,204.4","10,474.7","10,489.5","10,564.2","10,567.0","10,317.1","10,330.2","10,311.5","10,265.0","10,190.1","10,208.0","10,257.8","10,284.8","10,483.0","10,565.3","10,628.1","10,587.5","10,408.7","10,384.3","10,409.5","10,347.1","10,377.9","10,407.8","10,453.0","10,534.1","10,720.9","10,773.8","10,875.7","10,905.6","10,664.6","10,646.6","10,612.4","10,552.1","10,484.7","10,560.3","10,324.5","9,851.5","10,291.1","10,708.9","10,845.1","10,879.9","10,718.2"
,"15 to 24 years","1,395.6","1,389.7","1,358.5","1,351.7","1,329.2","1,335.6","1,337.7","1,344.8","1,508.7","1,527.5","1,638.2","1,597.3","1,391.8","1,391.2","1,369.2","1,350.5","1,347.4","1,345.0","1,356.8","1,328.4","1,515.1","1,537.9","1,649.2","1,603.0","1,351.5","1,363.5","1,373.2","1,342.1","1,322.1","1,329.5","1,354.0","1,342.0","1,492.5","1,544.7","1,639.4","1,585.3","1,369.2","1,355.4","1,347.7","1,319.2","1,340.1","1,350.3","1,360.7","1,380.4","1,501.4","1,546.1","1,662.2","1,638.2","1,403.8","1,398.5","1,391.3","1,358.8","1,328.2","1,367.6","1,258.0","1,148.2","1,362.6","1,556.2","1,657.9","1,634.8","1,406.3"
,"25 years and over","8,831.2","8,823.3","8,799.8","8,768.3","8,722.5","8,770.6","8,749.0","8,784.6","8,829.1","8,826.5","8,805.8","8,865.6","8,866.6","8,875.5","8,859.4","8,823.2","8,805.1","8,812.7","8,846.6","8,876.0","8,959.7","8,951.6","8,915.1","8,964.0","8,965.6","8,966.7","8,938.4","8,922.9","8,868.0","8,878.5","8,903.8","8,942.8","8,990.5","9,020.6","8,988.7","9,002.2","9,039.5","9,028.9","9,061.9","9,027.9","9,037.8","9,057.5","9,092.3","9,153.7","9,219.5","9,227.7","9,213.5","9,267.5","9,260.8","9,248.1","9,221.1","9,193.3","9,156.6","9,192.8","9,066.4","8,703.3","8,928.5","9,152.7","9,187.1","9,245.1","9,311.9"
,"25 to 44 years","4,366.8","4,370.4","4,354.6","4,356.8","4,326.9","4,322.4","4,335.5","4,351.0","4,371.1","4,381.0","4,385.6","4,421.7","4,402.1","4,409.8","4,404.8","4,389.1","4,383.4","4,372.2","4,408.2","4,423.9","4,467.9","4,477.0","4,462.4","4,466.0","4,450.1","4,449.0","4,444.2","4,434.8","4,426.0","4,436.7","4,448.9","4,484.1","4,521.2","4,554.0","4,549.9","4,557.8","4,560.8","4,559.6","4,570.8","4,546.1","4,536.9","4,538.7","4,543.3","4,565.9","4,608.1","4,629.6","4,639.0","4,661.2","4,668.5","4,665.2","4,672.3","4,646.1","4,636.1","4,642.8","4,598.2","4,377.9","4,508.0","4,638.4","4,672.1","4,694.9","4,714.1"
,"45 to 64 years","3,987.3","3,962.6","3,960.4","3,946.7","3,933.8","3,967.1","3,944.8","3,970.2","3,994.5","3,976.0","3,952.5","3,975.9","3,983.8","3,989.3","3,978.8","3,956.2","3,945.3","3,941.8","3,948.8","3,953.7","3,981.3","3,962.5","3,951.2","3,985.1","3,983.9","3,983.4","3,969.8","3,956.9","3,911.7","3,917.8","3,929.8","3,933.7","3,950.6","3,952.5","3,933.9","3,952.7","3,972.0","3,966.9","3,977.2","3,963.4","3,962.8","3,969.6","3,985.8","4,012.7","4,045.1","4,027.7","4,014.6","4,028.2","4,016.0","3,984.3","3,961.9","3,945.7","3,924.7","3,955.9","3,904.9","3,785.8","3,864.9","3,955.4","3,967.5","3,997.4","4,018.0"
,"45 years and over","4,464.4","4,453.0","4,445.2","4,411.5","4,395.6","4,448.2","4,413.5","4,433.6","4,458.0","4,445.5","4,420.2","4,444.0","4,464.5","4,465.7","4,454.7","4,434.2","4,421.8","4,440.5","4,438.4","4,452.1","4,491.7","4,474.5","4,452.6","4,498.0","4,515.5","4,517.7","4,494.2","4,488.0","4,442.0","4,441.8","4,454.9","4,458.8","4,469.2","4,466.6","4,438.9","4,444.5","4,478.7","4,469.4","4,491.0","4,481.9","4,500.9","4,518.8","4,549.1","4,587.8","4,611.4","4,598.2","4,574.5","4,606.3","4,592.3","4,582.8","4,548.8","4,547.2","4,520.4","4,549.9","4,468.3","4,325.4","4,420.5","4,514.2","4,515.0","4,550.2","4,597.8"
,"25 to 54 years","6,655.8","6,658.5","6,638.5","6,616.7","6,576.0","6,583.5","6,583.6","6,603.9","6,634.3","6,630.1","6,624.5","6,664.9","6,634.7","6,641.9","6,649.6","6,608.5","6,593.9","6,568.7","6,621.1","6,639.7","6,695.1","6,698.5","6,686.8","6,693.3","6,664.0","6,661.2","6,649.4","6,625.2","6,600.0","6,605.4","6,602.9","6,644.3","6,674.8","6,690.6","6,682.1","6,701.6","6,709.4","6,710.0","6,711.4","6,690.6","6,680.8","6,676.0","6,691.6","6,723.7","6,780.9","6,792.1","6,796.2","6,825.2","6,818.2","6,792.6","6,790.4","6,756.9","6,731.5","6,741.2","6,680.8","6,390.0","6,559.5","6,754.3","6,789.2","6,823.4","6,848.5"
,"55 years and over","2,175.4","2,164.9","2,161.3","2,151.7","2,146.5","2,187.1","2,165.3","2,180.8","2,194.8","2,196.4","2,181.4","2,200.7","2,231.9","2,233.6","2,209.8","2,214.8","2,211.2","2,243.9","2,225.4","2,236.3","2,264.5","2,253.0","2,228.3","2,270.7","2,301.6","2,305.5","2,289.0","2,297.7","2,268.0","2,273.1","2,300.9","2,298.5","2,315.6","2,330.0","2,306.6","2,300.6","2,330.1","2,318.9","2,350.5","2,337.4","2,357.0","2,381.5","2,400.7","2,430.0","2,438.6","2,435.6","2,417.4","2,442.3","2,442.6","2,455.4","2,430.7","2,436.4","2,425.1","2,451.6","2,385.7","2,313.2","2,369.0","2,398.4","2,397.9","2,421.7","2,463.4"
,"15 to 64 years","9,749.7","9,722.7","9,673.5","9,655.3","9,589.9","9,625.0","9,618.0","9,666.0","9,874.2","9,884.5","9,976.3","9,994.9","9,777.7","9,790.2","9,752.7","9,695.8","9,676.0","9,659.0","9,713.8","9,706.1","9,964.4","9,977.4","10,062.8","10,054.0","9,785.5","9,795.9","9,787.2","9,733.9","9,659.7","9,684.0","9,732.6","9,759.7","9,964.3","10,051.1","10,123.2","10,095.7","9,902.0","9,881.9","9,895.7","9,828.6","9,839.8","9,858.6","9,889.7","9,959.0","10,154.6","10,203.3","10,315.8","10,327.6","10,088.3","10,048.1","10,025.5","9,950.6","9,889.0","9,966.3","9,761.1","9,311.9","9,735.4","10,150.1","10,297.6","10,327.1","10,138.4"
,"15 to 19 years","483.6","479.4","454.6","454.1","454.4","457.5","452.0","455.5","515.7","518.0","614.6","575.4","456.2","457.3","448.6","437.0","445.7","453.7","457.8","450.6","522.1","531.8","643.8","603.3","441.8","437.9","448.1","454.1","445.1","448.2","467.9","472.5","521.3","529.5","623.6","594.6","466.0","457.7","461.6","459.3","472.6","469.2","464.0","467.2","494.7","530.0","638.4","625.7","479.2","478.6","458.9","456.5","439.4","455.4","396.8","357.5","450.0","548.9","621.0","610.4","477.3"
,"20 to 24 years","911.9","910.4","903.9","897.6","874.7","878.1","885.6","889.3","992.9","1,009.5","1,023.6","1,022.0","935.6","933.8","920.5","913.5","901.7","891.2","899.0","877.8","993.0","1,006.1","1,005.4","999.7","909.7","925.6","925.1","888.0","877.0","881.3","886.1","869.5","971.2","1,015.2","1,015.8","990.7","903.3","897.7","886.1","859.9","867.6","881.1","896.7","913.2","1,006.7","1,016.1","1,023.8","1,012.5","924.6","919.9","932.4","902.3","888.8","912.2","861.2","790.7","912.6","1,007.3","1,037.0","1,024.4","929.0"
,"25 to 29 years","1,088.0","1,084.0","1,069.3","1,070.1","1,060.1","1,050.9","1,065.1","1,079.3","1,087.0","1,099.1","1,100.0","1,100.4","1,091.7","1,085.3","1,074.2","1,064.6","1,065.8","1,059.8","1,080.4","1,104.5","1,125.0","1,125.1","1,119.0","1,129.3","1,115.7","1,116.9","1,110.1","1,109.3","1,111.0","1,109.6","1,110.3","1,128.5","1,147.1","1,158.6","1,156.2","1,162.9","1,150.7","1,147.1","1,156.6","1,150.8","1,146.4","1,140.8","1,139.4","1,146.8","1,171.0","1,169.7","1,173.7","1,187.5","1,170.8","1,159.4","1,164.5","1,148.5","1,147.7","1,152.7","1,150.2","1,076.2","1,123.5","1,158.0","1,180.0","1,175.2","1,163.7"
,"30 to 34 years","1,130.2","1,127.1","1,125.2","1,125.0","1,120.7","1,122.1","1,120.3","1,126.3","1,135.8","1,135.0","1,140.1","1,145.8","1,135.3","1,133.9","1,141.0","1,139.7","1,135.9","1,133.3","1,141.1","1,134.0","1,145.3","1,150.0","1,149.4","1,145.2","1,143.8","1,140.6","1,135.8","1,134.4","1,135.2","1,135.8","1,133.5","1,141.5","1,147.2","1,161.5","1,155.1","1,147.7","1,155.3","1,166.4","1,159.3","1,157.8","1,154.7","1,146.3","1,153.8","1,158.4","1,170.5","1,178.4","1,188.3","1,187.0","1,197.8","1,197.6","1,197.9","1,195.8","1,185.1","1,188.5","1,176.6","1,127.5","1,153.6","1,184.0","1,195.3","1,209.6","1,209.0"
,"35 to 39 years","1,070.9","1,082.2","1,065.0","1,055.2","1,052.7","1,048.0","1,034.0","1,050.0","1,062.9","1,074.1","1,080.0","1,114.6","1,115.8","1,124.7","1,118.8","1,114.1","1,113.6","1,099.7","1,106.8","1,087.0","1,111.4","1,116.5","1,109.8","1,104.0","1,128.2","1,139.3","1,145.4","1,131.6","1,135.7","1,139.5","1,147.2","1,143.2","1,141.1","1,138.5","1,135.7","1,134.5","1,141.9","1,144.0","1,172.8","1,164.4","1,176.2","1,194.9","1,171.2","1,160.3","1,171.7","1,170.3","1,167.3","1,168.7","1,177.5","1,176.9","1,186.9","1,182.8","1,173.9","1,191.6","1,189.5","1,117.2","1,136.8","1,162.6","1,143.3","1,160.0","1,174.9"
,"40 to 44 years","1,077.7","1,077.1","1,095.2","1,106.6","1,093.3","1,101.3","1,116.1","1,095.4","1,085.4","1,072.8","1,065.5","1,060.9","1,059.3","1,065.9","1,070.7","1,070.8","1,068.1","1,079.4","1,080.0","1,098.4","1,086.2","1,085.4","1,084.3","1,087.5","1,062.4","1,052.2","1,052.9","1,059.6","1,044.1","1,051.8","1,057.9","1,070.8","1,085.8","1,095.4","1,102.8","1,112.6","1,112.9","1,102.1","1,082.2","1,073.1","1,059.7","1,056.8","1,078.9","1,100.4","1,094.9","1,111.3","1,109.8","1,118.0","1,122.4","1,131.3","1,123.0","1,119.0","1,129.4","1,110.1","1,081.8","1,057.0","1,094.1","1,133.9","1,153.6","1,150.2","1,166.4"
,"45 to 49 years","1,065.5","1,086.4","1,072.9","1,065.4","1,071.0","1,076.0","1,061.4","1,058.6","1,080.9","1,070.8","1,067.5","1,049.4","1,043.9","1,045.2","1,028.3","1,036.9","1,049.7","1,049.8","1,060.0","1,067.6","1,079.0","1,061.4","1,062.7","1,051.9","1,029.6","1,031.2","1,035.8","1,020.9","1,019.8","1,015.5","1,025.9","1,039.7","1,046.0","1,036.2","1,052.0","1,046.0","1,043.7","1,030.5","1,039.8","1,044.3","1,043.4","1,048.9","1,054.6","1,072.8","1,075.9","1,073.4","1,078.8","1,070.6","1,069.9","1,039.7","1,029.7","1,031.9","1,012.3","1,004.3","1,010.1","969.0","993.9","1,041.0","1,043.9","1,046.6","1,056.6"
,"50 to 54 years","1,223.5","1,201.7","1,211.0","1,194.5","1,178.1","1,185.1","1,186.7","1,194.2","1,182.3","1,178.3","1,171.4","1,193.8","1,188.7","1,186.9","1,216.5","1,182.5","1,160.8","1,146.7","1,153.0","1,148.1","1,148.2","1,160.1","1,161.6","1,175.4","1,184.4","1,181.0","1,169.3","1,169.4","1,154.3","1,153.2","1,128.1","1,120.5","1,107.7","1,100.4","1,080.2","1,097.8","1,104.9","1,120.0","1,100.7","1,100.2","1,100.5","1,088.4","1,093.7","1,085.0","1,096.9","1,089.2","1,078.3","1,093.3","1,079.9","1,087.7","1,088.4","1,078.9","1,083.1","1,094.0","1,072.5","1,043.1","1,057.6","1,074.8","1,073.2","1,081.9","1,077.8"
,"55 to 59 years","1,032.4","1,013.8","1,020.0","1,023.9","1,017.0","1,033.4","1,025.3","1,034.0","1,040.4","1,030.8","1,025.2","1,034.9","1,045.6","1,049.4","1,043.1","1,041.1","1,049.6","1,049.6","1,043.8","1,032.7","1,041.7","1,031.9","1,027.2","1,052.3","1,060.5","1,069.6","1,060.9","1,057.4","1,040.0","1,035.9","1,037.1","1,048.5","1,050.9","1,058.9","1,056.1","1,068.3","1,074.2","1,063.7","1,070.4","1,069.4","1,078.8","1,089.7","1,076.6","1,092.7","1,089.7","1,084.1","1,079.2","1,079.5","1,067.0","1,067.8","1,060.5","1,043.9","1,041.4","1,058.7","1,044.5","1,031.2","1,047.2","1,068.4","1,073.4","1,083.1","1,097.0"
,"60 to 64 years","665.9","660.7","656.5","663.0","667.7","672.6","671.3","683.4","690.9","696.1","688.5","697.7","705.6","707.7","690.8","695.7","685.1","695.7","692.1","705.3","712.5","709.0","699.6","705.4","709.5","701.6","703.7","709.2","697.6","713.1","738.6","724.9","746.1","757.0","745.6","740.5","749.2","752.7","766.2","749.6","740.1","742.6","760.8","762.2","782.6","781.0","778.3","784.8","799.2","789.0","783.3","791.0","788.0","798.8","777.8","742.4","766.1","771.1","777.0","785.9","786.6"
,"65 years and over","477.1","490.3","484.8","464.8","461.8","481.1","468.7","463.4","463.5","469.5","467.7","468.1","480.7","476.4","475.9","478.0","476.5","498.7","489.6","498.3","510.4","512.0","501.5","512.9","531.7","534.3","524.3","531.1","530.4","524.0","525.1","525.1","518.7","514.2","505.0","491.8","506.7","502.5","513.8","518.4","538.1","549.1","563.3","575.1","566.3","570.5","559.9","578.1","576.3","598.5","586.9","601.5","595.7","594.1","563.4","539.6","555.6","558.8","547.5","552.8","579.8"
,"65 to 69 years","301.4","309.5","304.4","295.4","293.1","310.6","301.5","290.4","297.9","300.3","298.7","299.4","305.9","314.0","306.8","306.9","300.9","318.2","315.6","322.0","329.7","330.4","317.9","320.6","329.8","328.4","314.9","316.8","313.5","308.6","301.8","300.0","302.4","310.0","305.2","296.8","314.4","308.6","315.7","313.3","318.8","326.1","337.4","346.4","345.4","347.1","343.4","354.6","346.9","360.7","348.2","362.6","359.2","355.5","332.2","316.8","336.2","336.2","331.2","334.9","356.3"
,"70 years and over","175.7","180.8","180.4","169.4","168.7","170.5","167.2","173.0","165.6","169.2","169.0","168.8","174.8","162.4","169.0","171.0","175.6","180.4","174.0","176.3","180.6","181.7","183.5","192.4","201.8","205.9","209.5","214.3","216.9","215.4","223.3","225.1","216.3","204.2","199.7","194.9","192.3","193.9","198.2","205.2","219.3","223.0","225.9","228.8","221.0","223.4","216.5","223.4","229.5","237.8","238.8","238.9","236.5","238.6","231.2","222.8","219.4","222.6","216.3","217.9","223.6"
"Females","15 years and over","9,087.0","9,105.0","9,099.0","9,086.1","9,051.0","9,071.2","9,112.5","9,139.6","9,283.1","9,317.9","9,276.9","9,336.3","9,197.1","9,215.6","9,177.4","9,207.6","9,188.0","9,185.1","9,209.0","9,212.3","9,407.3","9,483.9","9,440.8","9,462.8","9,316.7","9,346.0","9,324.3","9,342.1","9,250.9","9,260.9","9,282.5","9,326.4","9,489.9","9,556.9","9,517.1","9,589.6","9,415.8","9,429.6","9,433.5","9,446.4","9,410.5","9,463.4","9,442.8","9,510.6","9,627.1","9,690.5","9,621.5","9,717.3","9,603.7","9,611.5","9,593.8","9,577.3","9,521.4","9,535.2","9,174.9","8,656.4","8,999.2","9,462.7","9,509.8","9,671.4","9,546.3"
,"15 to 24 years","1,353.4","1,362.1","1,324.1","1,311.7","1,280.2","1,289.5","1,312.1","1,306.6","1,422.1","1,470.7","1,545.9","1,507.2","1,321.9","1,336.2","1,316.1","1,314.2","1,291.3","1,262.8","1,276.2","1,278.1","1,441.1","1,473.5","1,546.7","1,472.2","1,287.5","1,321.7","1,314.9","1,301.4","1,267.2","1,256.8","1,273.1","1,277.2","1,418.3","1,452.5","1,531.7","1,500.9","1,291.0","1,276.0","1,268.9","1,262.0","1,264.7","1,278.2","1,289.3","1,310.5","1,440.5","1,491.7","1,573.2","1,574.8","1,357.3","1,350.5","1,345.5","1,332.5","1,307.0","1,309.2","1,178.6","1,016.6","1,228.1","1,435.0","1,543.0","1,545.0","1,330.4"
,"25 years and over","7,733.6","7,742.9","7,774.9","7,774.4","7,770.8","7,781.6","7,800.4","7,833.0","7,861.0","7,847.2","7,731.0","7,829.1","7,875.2","7,879.4","7,861.3","7,893.4","7,896.7","7,922.3","7,932.8","7,934.2","7,966.2","8,010.3","7,894.1","7,990.5","8,029.2","8,024.3","8,009.4","8,040.7","7,983.6","8,004.1","8,009.4","8,049.2","8,071.5","8,104.4","7,985.4","8,088.7","8,124.8","8,153.5","8,164.6","8,184.4","8,145.9","8,185.2","8,153.6","8,200.1","8,186.6","8,198.8","8,048.4","8,142.6","8,246.4","8,261.0","8,248.2","8,244.9","8,214.4","8,226.0","7,996.3","7,639.8","7,771.1","8,027.7","7,966.7","8,126.5","8,215.9"
