"Sex","Age group","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020"
,"35 to 39 years","1,000.3","984.9","973.8","971.7","981.8","979.1","963.0","978.0","963.0","971.4","958.5","986.2","1,012.2","1,002.1","1,015.0","1,012.7","1,016.0","1,002.5","1,003.2","1,000.9","996.4","1,010.8","992.7","992.5","984.5","984.0","992.2","983.5","981.2","1,003.3","1,014.9","1,024.1","1,016.2","1,020.5","1,006.7","1,025.7","1,031.4","1,025.2","1,014.7","1,028.0","1,034.2","1,040.1","1,029.6","1,024.6","1,028.3","1,027.5","1,026.4","1,041.4","1,042.0","1,048.9","1,072.1","1,070.5","1,069.1","1,081.9","1,074.9","1,014.0","1,021.1","1,062.0","1,028.9","1,026.4","1,035.6"
,"40 to 44 years","943.4","951.9","988.5","996.5","975.3","970.3","988.5","970.1","983.2","965.8","945.6","959.2","946.6","961.8","962.4","967.9","970.6","992.3","1,009.0","1,010.5","1,008.4","983.2","968.5","991.2","1,007.9","1,018.0","1,001.2","1,030.9","1,022.3","1,002.6","999.9","1,003.1","1,024.5","1,022.2","1,000.2","1,018.9","1,024.9","1,038.7","1,049.0","1,048.8","1,038.7","1,049.1","1,044.6","1,059.0","1,046.9","1,053.3","1,007.7","1,029.7","1,046.8","1,056.2","1,050.6","1,039.5","1,052.6","1,038.2","996.2","970.5","985.5","1,030.2","1,010.4","1,048.9","1,086.3"
,"45 to 49 years","1,005.4","996.6","1,015.0","1,001.9","1,010.6","1,015.6","1,005.7","998.6","983.6","989.3","975.1","972.9","978.2","970.7","967.8","963.7","969.3","979.0","989.8","973.2","977.4","979.2","973.6","973.9","973.9","1,000.0","1,005.1","997.3","978.0","987.9","979.5","960.0","967.5","974.5","968.4","972.4","972.8","980.1","978.6","986.5","980.9","980.1","995.7","994.3","997.5","1,003.8","999.5","994.8","997.1","986.6","998.3","1,003.7","1,001.5","989.0","975.2","925.6","935.9","922.2","904.8","927.2","941.5"
,"50 to 54 years","1,115.5","1,097.4","1,079.8","1,075.2","1,071.9","1,068.7","1,067.8","1,089.1","1,103.2","1,092.0","1,068.4","1,070.7","1,071.0","1,065.7","1,069.6","1,071.3","1,069.7","1,061.9","1,049.7","1,069.8","1,076.9","1,081.7","1,061.5","1,082.0","1,098.7","1,058.3","1,033.5","1,031.4","1,036.0","1,037.5","1,058.4","1,081.6","1,063.3","1,061.5","1,041.6","1,058.5","1,048.9","1,054.2","1,044.4","1,038.4","1,031.6","1,035.4","1,018.0","1,022.0","1,016.6","1,002.4","990.8","1,017.7","1,036.1","1,017.3","998.2","987.7","981.2","986.8","938.4","927.9","953.9","1,011.2","1,014.0","1,038.2","1,033.6"
,"55 to 59 years","865.4","883.6","887.0","898.5","888.9","913.3","923.8","943.4","940.2","935.0","926.7","932.7","941.2","939.6","937.2","934.9","936.8","944.4","941.4","938.7","938.0","953.0","935.5","947.8","954.1","958.1","965.6","964.9","959.7","963.9","955.3","945.4","952.3","954.1","941.5","960.7","964.4","966.2","968.2","949.2","932.9","940.7","941.6","952.0","951.1","969.5","945.3","952.4","972.5","980.3","976.0","967.7","956.0","975.1","932.6","902.7","904.1","929.7","925.7","963.8","956.7"
,"60 to 64 years","545.9","550.1","554.7","549.7","553.8","545.4","544.9","536.7","554.1","543.3","523.1","554.3","567.0","580.4","559.1","559.5","556.6","564.6","564.8","574.5","570.3","580.3","564.0","587.9","598.1","600.9","610.0","623.5","609.2","608.1","607.0","611.0","608.3","614.3","604.1","617.6","622.0","633.6","636.8","634.6","607.1","606.0","620.7","615.6","610.6","617.2","605.7","619.3","644.4","650.5","651.3","643.4","633.5","634.7","616.0","572.9","578.0","592.2","597.9","611.3","623.3"
,"65 years and over","288.4","310.4","303.2","308.8","306.4","311.1","306.5","296.0","294.1","307.8","310.0","306.4","329.1","328.7","321.2","325.1","318.0","314.9","319.9","312.4","323.5","332.5","334.5","330.5","345.9","342.8","344.1","347.2","352.5","341.8","335.3","349.2","355.6","350.0","326.5","309.8","333.6","347.4","357.5","369.2","383.0","396.2","392.7","381.4","388.4","364.4","346.8","356.7","370.1","374.2","359.2","368.7","368.3","367.6","345.3","328.8","331.0","342.3","327.0","329.6","348.9"
,"65 to 69 years","203.0","215.5","211.7","210.9","209.0","214.0","202.4","200.7","196.9","208.4","200.5","198.6","217.5","217.0","211.6","212.3","211.2","202.7","211.8","207.9","211.2","218.7","218.7","221.3","221.7","218.6","223.5","225.4","226.0","212.9","214.6","224.4","231.1","232.4","218.7","203.7","214.9","226.6","229.4","237.2","249.0","261.6","261.4","255.3","262.9","243.3","230.6","234.5","249.9","247.8","236.2","247.1","246.7","247.9","223.3","208.9","214.1","217.8","206.1","204.3","225.6"
,"70 years and over","85.4","94.9","91.5","98.0","97.4","97.1","104.2","95.4","97.2","99.4","109.5","107.8","111.6","111.8","109.6","112.8","106.8","112.1","108.1","104.6","112.3","113.8","115.9","109.2","124.2","124.3","120.6","121.8","126.5","128.9","120.8","124.8","124.5","117.6","107.8","106.1","118.7","120.8","128.1","132.0","134.0","134.6","131.3","126.1","125.6","121.1","116.2","122.2","120.2","126.4","123.0","121.5","121.6","119.7","122.1","119.9","116.9","124.5","120.9","125.3","123.3"

